university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Brunel University London,2022,351,31.3,https://www.topuniversities.com/universities/brunel-university-london,United Kingdom,"",Europe,https://www.topuniversities.com/sites/default/files/brunel-university-london_592560cf2aeae70239af4acc_small.jpg,Public,Very High,16,5.305,L,860
Universidad Carlos III de Madrid (UC3M),2022,351,31.3,https://www.topuniversities.com/universities/universidad-carlos-iii-de-madrid-uc3m,Spain,Madrid,Europe,https://www.topuniversities.com/sites/default/files/universidad-carlos-iii-de-madrid-uc3m_1509_small.jpg,Public,Very High,9,2.110,L,2.119
Ural Federal University - UrFU,2022,351,31.3,https://www.topuniversities.com/universities/ural-federal-university-urfu,Russia,Ekaterinburg,Europe,https://www.topuniversities.com/sites/default/files/ural-federal-university-urfu_592560cf2aeae70239af505a_small.jpg,Public,Very High,6,5.089,L,5.009
Johannes Kepler University Linz,2022,354,31.2,https://www.topuniversities.com/universities/johannes-kepler-university-linz,Austria,Linz,Europe,https://www.topuniversities.com/sites/default/files/johannes-kepler-university-linz_349_small.jpg,Public,Very High,6,774,M,897
Tilburg University,2022,356,31,https://www.topuniversities.com/universities/tilburg-university,Netherlands,Tilburg,Europe,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,Public,Very High,15,2.189,M,745
University of Lisbon,2022,356,31,https://www.topuniversities.com/universities/university-lisbon,Portugal,Lisbon,Europe,https://www.topuniversities.com/sites/default/files/university-of-lisbon_1475_small.jpg,Public,Very High,14,8.546,XL,3.389
University of Jyväskylä,2022,358,30.9,https://www.topuniversities.com/universities/university-jyvaskyla,Finland,Jyväskylä,Europe,https://www.topuniversities.com/sites/default/files/university-of-jyvskyl_306_small.jpg,Public,Very High,7,339,M,1.573
MGIMO School of Business and International Proficiency,2022,362,30.8,https://www.topuniversities.com/universities/mgimo-school-business-international-proficiency,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/moscow-state-institute-of-international-relations-mgimo-university_2156_small.jpg,Public,Very High,4,1.517,M,1.739
ITMO University,2022,365,30.5,https://www.topuniversities.com/universities/itmo-university,Russia,St. Petersburg,Europe,https://www.topuniversities.com/sites/default/files/itmo-university_592560cf2aeae70239af5829_small.jpg,Public,Very High,6,2.337,M,1.849
Umea University,2022,365,30.5,https://www.topuniversities.com/universities/umea-university,Sweden,Umeå,Europe,https://www.topuniversities.com/sites/default/files/logo_Umu-48x48.jpg,Public,Very High,7,1.186,L,1.966
Ulm University,2022,365,30.5,https://www.topuniversities.com/universities/ulm-university,Germany,Ulm,Europe,https://www.topuniversities.com/sites/default/files/university-ulm_638_small.jpg,Public,Very High,7,1.289,M,1.473
Norwegian University of Science And Technology,2022,369,30.3,https://www.topuniversities.com/universities/norwegian-university-science-technology,Norway,Trondheim,Europe,https://www.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,Public,Very High,12,2.950,XL,3.132
Universitat Politècnica de València,2022,371,30,https://www.topuniversities.com/universities/universitat-politecnica-de-valencia,Spain,València,Europe,https://www.topuniversities.com/sites/default/files/universitat-politcnica-de-valncia_648_small.jpg,Public,Very High,8,2.589,L,2.645
"University of Chemistry and Technology, Prague",2022,373,29.6,https://www.topuniversities.com/universities/university-chemistry-technology-prague,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/university-of-chemistry-and-technology-prague_592560cf2aeae70239af4f53_small.jpg,Public,Very High,4,864,S,903
University of Oulu,2022,377,29.5,https://www.topuniversities.com/universities/university-oulu,Finland,Oulu,Europe,https://www.topuniversities.com/sites/default/files/university-of-oulu_476_small.jpg,Public,Very High,11,579,M,883
Julius-Maximilians-Universität Würzburg,2022,378,29.4,https://www.topuniversities.com/universities/julius-maximilians-universitat-wurzburg,Germany,Würzburg,Europe,https://www.topuniversities.com/sites/default/files/julius-maximilians-universitt-wrzburg_592560cf2aeae70239af4d2d_small.jpg,Public,Very High,24,1.951,L,953
University of Kent,2022,383,29.1,https://www.topuniversities.com/universities/university-kent,United Kingdom,Canterbury,Europe,https://www.topuniversities.com/sites/default/files/university-of-kent_315_small.jpg,Public,Very High,13,3.515,L,"4,000"
University of Pisa,2022,388,28.7,https://www.topuniversities.com/universities/university-pisa,Italy,Pisa,Europe,https://www.topuniversities.com/sites/default/files/university-of-pisa_499_small.jpg,Public,Very High,18,1.507,XL,1.796
Università Vita-Salute San Raffaele,2022,390,28.6,https://www.topuniversities.com/universities/universita-vita-salute-san-raffaele,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/universit-vita-salute-san-raffaele_592560cf2aeae70239af5016_small.jpg,Private,Very High,5,94,S,451
SOAS University of London,2022,391,28.5,https://www.topuniversities.com/universities/soas-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg,Public,Very High,11,2.398,S,300
Peter the Great St. Petersburg Polytechnic University,2022,393,28.4,https://www.topuniversities.com/universities/peter-great-st-petersburg-polytechnic-university,Russia,St. Petersburg,Europe,https://www.topuniversities.com/sites/default/files/peter-the-great-st.-petersburg-polytechnic-university_592560cf2aeae70239af52ed_small.jpg,Public,Very High,7,5.121,L,2.355
Ruhr-Universität Bochum,2022,393,28.4,https://www.topuniversities.com/universities/ruhr-universitat-bochum,Germany,Bochum,Europe,https://www.topuniversities.com/sites/default/files/ruhr-universitt-bochum_537_small.jpg,Public,Very High,35,6.564,XL,1.232
National Research Tomsk Polytechnic University,2022,395,28.3,https://www.topuniversities.com/universities/national-research-tomsk-polytechnic-university,Russia,"",Europe,https://www.topuniversities.com/sites/default/files/national-research-tomsk-polytechnic-university_14158_small.jpg,Public,Very High,6,2.757,M,1.550
Vilnius University,2022,400,28,https://www.topuniversities.com/universities/vilnius-university,Lithuania,Vilnius,Europe,https://www.topuniversities.com/sites/default/files/vilnius-university-_592560cf2aeae70239af4d7f_small.jpg,Public,High,7,1.290,L,2.461
Czech Technical University in Prague,2022,403,27.9,https://www.topuniversities.com/universities/czech-technical-university-prague,Czech Republic,Prague,Europe,https://www.topuniversities.com/sites/default/files/czech-technical-university-in-prague_592560cf2aeae70239af4d3b_small.jpg,Public,Very High,6,3.006,L,2.628
Westfälische Wilhelms-Universität Münster,2022,411,27.7,https://www.topuniversities.com/universities/westfalische-wilhelms-universitat-munster,Germany,Münster,Europe,https://www.topuniversities.com/sites/default/files/westflische-wilhelms-universitt-mnster_421_small.jpg,Public,Very High,10,2.845,XL,4.230
Lappeenranta-Lahti University of Technology LUT,2022,414,27.4,https://www.topuniversities.com/universities/lappeenranta-lahti-university-technology-lut,Finland,Lappeenranta,Europe,https://www.topuniversities.com/sites/default/files/lappeenranta-university-of-technology_592560cf2aeae70239af4f7d_small.jpg,Public,Very High,14,399,S,298
Tampere University,2022,414,27.4,https://www.topuniversities.com/universities/tampere-university,Finland,Tampere,Europe,https://www.topuniversities.com/sites/default/files/tampere-university_5bbf14847d023f5bc849ec9a_small.jpg,Public,Very High,12,996,L,1.310
National Technical University of Athens,2022,421,27.3,https://www.topuniversities.com/universities/national-technical-university-athens,Greece,Athens,Europe,https://www.topuniversities.com/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg,Public,Very High,20,846,L,689
Université de Strasbourg,2022,421,27.3,https://www.topuniversities.com/universities/universite-de-strasbourg,France,Strasbourg,Europe,https://www.topuniversities.com/sites/default/files/universit-de-strasbourg_578_small.jpg,Public,Very High,21,9.111,XL,2.544
Universität Mannheim,2022,423,27.2,https://www.topuniversities.com/universities/universitat-mannheim,Germany,Mannheim,Europe,https://www.topuniversities.com/sites/default/files/universitt-mannheim_592560cf2aeae70239af4c0b_small.jpg,Public,Very High,32,1.290,M,307
University of Naples - Federico II,2022,424,27.1,https://www.topuniversities.com/universities/university-naples-federico-ii,Italy,Naples,Europe,https://www.topuniversities.com/sites/default/files/university-of-naples-federico-ii_432_small.jpg,Public,Very High,22,128,XL,2.299
Johannes Gutenberg Universität Mainz,2022,427,27,https://www.topuniversities.com/universities/johannes-gutenberg-universitat-mainz,Germany,Mainz,Europe,https://www.topuniversities.com/sites/default/files/johannes-gutenberg-universitt-mainz_382_small.jpg,Public,Very High,9,3.605,XL,3.473
